Full Name,Date,State,Negative Impact,% SB having decrease in revenue,Approx. Mean Revenue,% SB close for at least one day,% SB having disruptions in supply chain,% SB shift production/services,% SB only do pickup/delivery,Approx. Days Til Normal,% SB having decrease in paid employee,% SB having decrease in paid employee work hours,Approx. Days Cash on Hand Can Cover,% SB missed loan payment,% SB missed other scheduled payment,% SB requested financial assistance from PPP,% SB received financial assistance from PPP,% SB not received financial assistance from Federal program
Alaska,2020-05-02,AK,89.39999999999999,0.655,4188.25,0.433,0.418,0.106,0.11900000000000001,120.81,0.293,0.45899999999999996,34.2205,,0.214,0.691,0.42200000000000004,0.5379999999999999
Alabama,2020-05-02,AL,82.5,0.695,29899.75,0.33399999999999996,0.516,0.077,0.134,172.44,0.16899999999999998,0.45299999999999996,46.5845,0.106,0.171,0.76,0.555,0.37200000000000005
Arkansas,2020-05-02,AR,88.39999999999999,0.77,12858.75,0.263,0.479,0.059000000000000004,0.142,159.195,0.19899999999999998,0.428,50.723,0.077,0.16899999999999998,0.79,0.6409999999999999,0.332
Arizona,2020-05-02,AZ,88.7,0.716,17271.0,0.31,0.41700000000000004,0.067,0.153,240.57,0.268,0.505,66.37249999999999,0.099,0.204,0.713,0.281,0.614
California,2020-05-02,CA,89.5,0.762,36245.75,0.478,0.46399999999999997,0.077,0.146,246.28499999999997,0.315,0.532,62.635000000000005,0.136,0.281,0.754,0.215,0.669
Colorado,2020-05-02,CO,83.39999999999999,0.6809999999999999,25023.75,0.36200000000000004,0.382,0.083,0.132,220.05,0.2,0.504,68.345,0.10099999999999999,0.217,0.705,0.391,0.5529999999999999
Connecticut,2020-05-02,CT,93.9,0.7509999999999999,14758.0,0.408,0.43200000000000005,0.07400000000000001,0.157,236.64,0.303,0.469,57.444500000000005,0.121,0.275,0.772,0.361,0.53
District of Columbia,2020-05-02,DC,91.89999999999999,0.773,74.5,0.645,0.41100000000000003,0.129,,131.82,0.284,0.494,34.69500000000001,0.177,0.337,0.679,0.223,0.713
Delaware,2020-05-02,DE,89.3,0.727,8098.250000000001,0.349,0.36,,0.156,100.84499999999998,0.207,0.473,59.253,,0.21,0.72,0.451,0.513
Florida,2020-05-02,FL,89.0,0.774,30808.75,0.373,0.434,0.08199999999999999,0.145,243.91499999999994,0.268,0.536,56.38649999999999,0.099,0.235,0.743,0.29100000000000004,0.619
Georgia,2020-05-02,GA,92.60000000000001,0.755,39961.5,0.419,0.444,0.07400000000000001,0.149,226.63499999999996,0.24,0.5329999999999999,60.17449999999999,0.106,0.248,0.7909999999999999,0.354,0.5589999999999999
Hawaii,2020-05-02,HI,93.5,0.8109999999999999,2551.75,0.465,0.39,0.085,0.157,193.005,0.373,0.58,52.39250000000001,0.10099999999999999,0.209,0.716,0.38299999999999995,0.508
Iowa,2020-05-02,IA,82.5,0.6729999999999999,30453.75,0.218,0.36700000000000005,0.045,0.161,164.145,0.218,0.405,67.61950000000002,0.08,0.113,0.716,0.55,0.408
Idaho,2020-05-02,ID,87.2,0.695,9402.5,0.34,0.47700000000000004,0.069,0.147,132.81,0.237,0.493,55.540000000000006,0.066,0.121,0.6920000000000001,0.498,0.499
Illinois,2020-05-02,IL,90.49999999999999,0.767,35202.0,0.39899999999999997,0.44,0.078,0.149,255.46500000000003,0.27399999999999997,0.524,53.68,0.11900000000000001,0.251,0.763,0.444,0.49200000000000005
Indiana,2020-05-02,IN,85.6,0.721,30607.5,0.342,0.44799999999999995,0.065,0.145,200.13,0.251,0.51,65.888,0.122,0.2,0.746,0.47,0.46399999999999997
Kansas,2020-05-02,KS,82.69999999999999,0.652,32120.749999999996,0.322,0.42700000000000005,0.042,0.18899999999999997,196.57500000000002,0.192,0.46,52.090500000000006,0.062,0.10300000000000001,0.723,0.5660000000000001,0.39
Kentucky,2020-05-02,KY,88.6,0.785,24337.0,0.369,0.40299999999999997,,0.207,167.38500000000005,0.307,0.53,57.17249999999999,0.11,0.146,0.7040000000000001,0.48700000000000004,0.40299999999999997
Louisiana,2020-05-02,LA,81.89999999999999,0.738,15200.0,0.331,0.51,0.071,0.196,188.14499999999998,0.267,0.524,52.904500000000006,0.1,0.21,0.7829999999999999,0.478,0.46399999999999997
Massachusetts,2020-05-02,MA,93.8,0.773,31827.75,0.465,0.435,0.061,0.163,257.595,0.267,0.489,72.81400000000001,0.131,0.262,0.767,0.41100000000000003,0.527
Maryland,2020-05-02,MD,88.4,0.725,41272.0,0.44,0.45799999999999996,0.073,0.138,210.72000000000003,0.27,0.49200000000000005,61.9025,0.128,0.28600000000000003,0.732,0.37,0.563
Maine,2020-05-02,ME,87.0,0.762,12444.25,0.444,0.517,,0.127,168.42000000000002,0.266,0.48700000000000004,44.4065,0.10300000000000001,0.18899999999999997,0.8,0.635,0.313
Michigan,2020-05-02,MI,93.7,0.797,32592.25,0.588,0.494,0.051,0.168,216.57000000000002,0.354,0.625,66.17349999999999,0.142,0.231,0.741,0.391,0.526
Minnesota,2020-05-02,MN,89.19999999999999,0.685,37249.25,0.267,0.35200000000000004,0.05,0.135,239.58000000000004,0.21899999999999997,0.45299999999999996,69.46549999999999,0.086,0.15,0.774,0.57,0.38
Missouri,2020-05-02,MO,84.80000000000001,0.715,41321.0,0.316,0.43200000000000005,0.053,0.138,203.925,0.218,0.47100000000000003,70.02099999999999,0.084,0.168,0.7709999999999999,0.595,0.348
Mississippi,2020-05-02,MS,86.7,0.711,13703.750000000002,0.316,0.527,,0.168,163.17000000000002,0.168,0.536,48.111,,0.149,0.777,0.535,0.42700000000000005
Montana,2020-05-02,MT,76.2,0.612,14599.25,0.32299999999999995,0.28300000000000003,,0.14,140.28,0.15,0.306,54.721,0.078,0.12300000000000001,0.645,0.539,0.436
North Carolina,2020-05-02,NC,88.2,0.731,36777.5,0.353,0.45799999999999996,0.064,0.16699999999999998,245.46000000000006,0.309,0.541,59.858999999999995,0.12300000000000001,0.226,0.743,0.368,0.56
North Dakota,2020-05-02,ND,86.1,0.687,4705.0,0.332,0.38799999999999996,,0.22399999999999998,140.41500000000002,0.122,0.409,60.4525,,,0.745,0.621,0.363
Nebraska,2020-05-02,NE,86.60000000000001,0.659,13699.250000000002,0.2,0.451,,0.172,164.505,0.147,0.386,49.94,0.077,0.122,0.6859999999999999,0.5920000000000001,0.36
New Hampshire,2020-05-02,NH,91.19999999999999,0.718,5737.0,0.43,0.48,0.095,0.192,185.79,0.322,0.494,70.032,0.076,0.201,0.733,0.473,0.504
New Jersey,2020-05-02,NJ,93.8,0.805,31164.75,0.521,0.496,0.07200000000000001,0.16699999999999998,238.17000000000002,0.387,0.594,50.533,0.14,0.337,0.785,0.266,0.583
New Mexico,2020-05-02,NM,86.1,0.642,13772.75,0.433,0.491,0.079,0.14400000000000002,182.17499999999998,0.317,0.636,53.066,0.077,0.21,0.6779999999999999,0.304,0.65
Nevada,2020-05-02,NV,85.0,0.7120000000000001,10767.0,0.389,0.39399999999999996,0.064,0.154,168.34499999999997,0.28,0.515,85.45200000000001,0.092,0.21600000000000003,0.6859999999999999,0.245,0.636
New York,2020-05-02,NY,91.6,0.773,33824.0,0.545,0.473,0.055,0.14800000000000002,239.745,0.348,0.534,53.198499999999996,0.11199999999999999,0.35,0.742,0.32299999999999995,0.595
Ohio,2020-05-02,OH,87.0,0.725,43740.75,0.382,0.467,0.052000000000000005,0.129,239.28000000000003,0.266,0.491,66.81750000000001,0.12,0.222,0.7759999999999999,0.429,0.489
Oklahoma,2020-05-02,OK,90.4,0.764,13623.0,0.28600000000000003,0.431,0.07,0.124,208.23000000000002,0.188,0.452,61.355999999999995,0.11199999999999999,0.13699999999999998,0.797,0.6509999999999999,0.313
Oregon,2020-05-02,OR,85.1,0.685,24103.0,0.39799999999999996,0.499,0.061,0.147,233.205,0.285,0.475,64.07750000000001,0.10300000000000001,0.209,0.728,0.292,0.581
Pennsylvania,2020-05-02,PA,89.6,0.741,34475.0,0.546,0.495,0.062,0.17600000000000002,231.70499999999998,0.35600000000000004,0.524,59.774,0.14800000000000002,0.27699999999999997,0.778,0.431,0.47600000000000003
Rhode Island,2020-05-02,RI,93.19999999999999,0.784,741.0,0.49200000000000005,0.495,,0.162,189.51,0.326,0.629,33.721,,0.218,0.7609999999999999,0.406,0.55
South Carolina,2020-05-02,SC,84.4,0.7440000000000001,21401.0,0.327,0.47600000000000003,0.065,0.18600000000000003,157.92000000000002,0.22899999999999998,0.523,55.972,0.11199999999999999,0.20600000000000002,0.716,0.384,0.5379999999999999
South Dakota,2020-05-02,SD,77.8,0.597,9798.75,0.226,0.33299999999999996,,0.121,133.74,0.15,0.402,46.031,,,0.7340000000000001,0.564,0.401
Tennessee,2020-05-02,TN,87.4,0.706,46945.75,0.35100000000000003,0.42200000000000004,0.07,0.205,197.20499999999998,0.196,0.43,54.8135,0.125,0.18600000000000003,0.754,0.442,0.488
Texas,2020-05-02,TX,86.1,0.735,41610.0,0.396,0.44799999999999995,0.07200000000000001,0.155,221.06999999999996,0.226,0.494,64.19749999999999,0.135,0.214,0.772,0.429,0.48100000000000004
Utah,2020-05-02,UT,87.5,0.657,22102.25,0.316,0.397,0.065,0.11,213.315,0.19399999999999998,0.45,71.60900000000001,0.09300000000000001,0.187,0.75,0.44799999999999995,0.514
Virginia,2020-05-02,VA,87.6,0.722,32727.0,0.359,0.428,0.077,0.151,221.96999999999997,0.251,0.502,67.43549999999999,0.129,0.24100000000000002,0.752,0.40299999999999997,0.513
Vermont,2020-05-02,VT,94.2,0.755,1854.5,0.47700000000000004,0.41,,0.14800000000000002,122.81999999999998,0.28600000000000003,0.495,48.582499999999996,0.11800000000000001,0.20199999999999999,0.6579999999999999,0.423,0.51
Washington,2020-05-02,WA,88.1,0.742,34974.25,0.475,0.45299999999999996,0.07200000000000001,0.13,239.98499999999999,0.319,0.528,76.57549999999999,0.098,0.22399999999999998,0.7120000000000001,0.324,0.573
Wisconsin,2020-05-02,WI,85.39999999999999,0.708,37198.5,0.37,0.46,0.07200000000000001,0.166,237.405,0.231,0.49700000000000005,60.482,0.086,0.16899999999999998,0.778,0.563,0.405
West Virginia,2020-05-02,WV,85.60000000000001,0.69,6248.75,0.401,0.35,,,77.235,0.19399999999999998,0.509,29.849999999999998,,0.28800000000000003,0.693,0.418,0.536
Wyoming,2020-05-02,WY,83.3,0.688,8466.25,0.348,0.406,,0.13699999999999998,107.655,0.214,0.5920000000000001,55.570499999999996,,,0.568,0.444,0.489
Alaska,2020-05-09,AK,88.19999999999999,0.588,6847.25,0.267,0.42200000000000004,,0.161,176.595,0.212,0.374,38.651,,0.16399999999999998,0.6579999999999999,0.47600000000000003,0.499
Alabama,2020-05-09,AL,81.3,0.617,16410.5,0.35,0.41700000000000004,0.062,0.21,151.82999999999998,0.114,0.39799999999999996,71.66700000000002,0.135,0.124,0.716,0.589,0.363
Arkansas,2020-05-09,AR,80.3,0.655,15276.0,0.23800000000000002,0.467,0.06,0.14,158.85,0.14300000000000002,0.308,46.082,0.094,0.145,0.7070000000000001,0.619,0.308
Arizona,2020-05-09,AZ,85.5,0.644,19605.0,0.29600000000000004,0.433,0.05,0.127,214.35000000000002,0.22,0.41,72.6445,0.106,0.20199999999999999,0.7090000000000001,0.466,0.45
California,2020-05-09,CA,88.0,0.713,38471.25,0.442,0.435,0.065,0.141,245.74499999999995,0.273,0.489,65.9685,0.11900000000000001,0.249,0.741,0.445,0.449
Colorado,2020-05-09,CO,85.39999999999999,0.667,27484.5,0.335,0.41700000000000004,0.087,0.147,225.35999999999996,0.182,0.436,69.642,0.109,0.174,0.7040000000000001,0.545,0.405
