ST,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
-,1,1,0.384,  0.23
-,1,2,0.448,  0.35
-,1,3,0.128,  0.25
-,1,4,0.028,  0.15
-,1,5,0.012,  0.07
-,2,1,0.206,  0.27
-,2,2,0.441,  0.33
-,2,3,0.353,  0.26
-,3,1,0.091,  0.16
-,3,2,0.046,  0.14
-,3,3,0.053,  0.20
-,3,4,0.121,  0.27
-,3,5,0.204,  0.39
-,3,6,0.157,  0.24
-,3,7,0.075,  0.21
-,3,8,0.090,  0.30
-,3,9,0.087,  0.15
-,3,10,0.075,  0.27
-,4,1,0.218,  0.33
-,4,2,0.782,  0.33
-,5,1,0.102,  0.17
-,5,2,0.112,  0.24
-,5,3,0.785,  0.25
-,6,1,0.131,  0.30
-,6,2,0.229,  0.34
-,6,3,0.639,  0.33
-,7,1,0.334,  0.29
-,7,2,0.666,  0.29
-,8,1,0.053,  0.18
-,8,2,0.947,  0.18
-,9,1,0.081,  0.17
-,9,2,0.919,  0.17
-,10,1,0.043,  0.16
-,10,2,0.087,  0.27
-,10,3,0.177,  0.35
-,10,4,0.296,  0.27
-,10,5,0.263,  0.26
-,10,6,0.028,  0.15
-,10,7,0.105,  0.19
-,11,1,0.046,  0.12
-,11,2,0.954,  0.12
-,12,1,0.140,  0.24
-,12,2,0.860,  0.24
-,13,1,0.747,  0.32
-,13,2,0.276,  0.36
-,13,3,0.099,  0.17
-,13,4,0.019,  0.14
-,13,5,0.050,  0.22
-,13,6,0.068,  0.15
-,13,7,0.107,  0.24
-,13,8,0.038,  0.13
-,13,9,0.038,  0.10
-,13,10,0.181,  0.23
-,14,1,0.716,  0.26
-,14,2,0.194,  0.36
-,14,3,0.059,  0.13
-,14,4,0.022,  0.12
-,14,5,0.239,  0.18
-,15,1,0.041,  0.18
-,15,2,0.140,  0.27
-,15,3,0.230,  0.22
-,15,4,0.383,  0.38
-,15,5,0.091,  0.20
-,15,6,0.115,  0.27
AK,1,1,0.321,  3.88
AK,1,2,0.441,  4.76
AK,1,3,0.185,  4.68
AK,2,1,0.174,  2.70
AK,2,2,0.490,  3.00
AK,2,3,0.335,  3.28
AK,3,4,0.175,  3.94
AK,3,5,0.240,  3.45
AK,3,6,0.122,  4.30
AK,3,7,0.124,  3.20
AK,4,1,0.210,  6.39
AK,4,2,0.790,  6.39
AK,5,2,0.154,  2.71
AK,5,3,0.707,  3.67
AK,6,2,0.285,  4.38
AK,6,3,0.592,  7.06
AK,7,1,0.331,  5.03
AK,7,2,0.669,  5.03
AK,8,2,0.966,  1.92
AK,9,1,0.120,  3.47
AK,9,2,0.880,  3.47
AK,10,4,0.302,  5.49
AK,10,5,0.375,  9.30
AK,11,2,0.961,  2.83
AK,12,1,0.133,  2.33
AK,12,2,0.867,  2.33
AK,13,1,0.551,  7.23
AK,13,2,0.304,  4.58
AK,13,7,0.153,  4.00
AK,13,10,0.254,  7.26
AK,14,1,0.490,  7.27
AK,14,2,0.211,  4.38
AK,14,5,0.391,  7.80
AK,15,4,0.476,  5.64
AK,15,5,0.130,  3.41
AK,15,6,0.207,  4.87
AL,1,1,0.288,  3.22
AL,1,2,0.476,  2.97
AL,1,3,0.219,  2.95
AL,2,1,0.173,  1.83
AL,2,2,0.390,  1.78
AL,2,3,0.438,  2.14
AL,3,1,0.038,  1.59
AL,3,4,0.103,  2.58
AL,3,5,0.233,  3.17
AL,3,6,0.176,  2.59
AL,3,7,0.084,  2.07
AL,3,8,0.093,  2.18
AL,3,9,0.119,  2.23
AL,3,10,0.098,  1.66
AL,4,1,0.128,  3.72
AL,4,2,0.872,  3.72
AL,5,1,0.069,  1.81
AL,5,2,0.068,  1.42
AL,5,3,0.862,  1.66
AL,6,1,0.087,  2.46
AL,6,2,0.190,  2.98
AL,6,3,0.722,  2.96
AL,7,1,0.388,  2.60
AL,7,2,0.612,  2.60
AL,8,1,0.039,  1.36
AL,8,2,0.961,  1.36
AL,9,1,0.048,  1.79
AL,9,2,0.952,  1.79
AL,10,1,0.041,  1.46
AL,10,2,0.080,  1.70
AL,10,3,0.210,  2.98
AL,10,4,0.299,  3.53
AL,10,5,0.195,  2.44
AL,10,7,0.171,  2.52
AL,11,2,0.961,  1.44
AL,12,1,0.079,  2.64
AL,12,2,0.921,  2.64
AL,13,1,0.825,  2.73
AL,13,2,0.266,  2.55
AL,13,3,0.093,  2.00
AL,13,6,0.067,  1.10
AL,13,7,0.080,  1.64
AL,13,10,0.119,  1.63
AL,14,1,0.807,  3.37
AL,14,2,0.169,  2.64
AL,14,3,0.045,  1.65
AL,14,5,0.143,  2.12
AL,15,1,0.060,  1.75
AL,15,2,0.142,  2.38
AL,15,3,0.279,  3.24
AL,15,4,0.256,  4.82
AL,15,5,0.081,  1.78
AL,15,6,0.181,  2.43
AR,1,1,0.334,  3.77
AR,1,2,0.476,  3.71
AR,1,3,0.101,  2.22
AR,1,4,0.074,  2.86
AR,2,1,0.254,  6.43
AR,2,2,0.442,  3.73
AR,2,3,0.304,  4.15
AR,3,1,0.067,  1.85
AR,3,3,0.084,  1.99
AR,3,4,0.134,  3.03
AR,3,5,0.210,  3.32
AR,3,6,0.141,  3.78
AR,3,7,0.056,  1.78
AR,3,8,0.123,  2.23
AR,3,9,0.106,  2.77
AR,4,1,0.146,  1.91
AR,4,2,0.854,  1.91
AR,5,1,0.069,  2.31
AR,5,2,0.116,  2.57
AR,5,3,0.814,  3.16
AR,6,1,0.121,  4.66
AR,6,2,0.206,  3.15
AR,6,3,0.673,  5.56
AR,7,1,0.370,  2.12
AR,7,2,0.630,  2.12
AR,8,1,0.050,  1.26
AR,8,2,0.950,  1.26
AR,9,1,0.094,  2.97
AR,9,2,0.906,  2.97
AR,10,2,0.109,  1.56
AR,10,3,0.252,  3.39
AR,10,4,0.253,  2.64
AR,10,5,0.206,  3.45
AR,10,7,0.099,  2.41
AR,11,2,0.946,  1.62
AR,12,1,0.098,  3.10
AR,12,2,0.902,  3.10
AR,13,1,0.763,  2.66
AR,13,2,0.275,  3.42
AR,13,3,0.114,  3.25
AR,13,5,0.219,  2.22
AR,13,7,0.112,  2.54
AR,13,10,0.163,  2.57
AR,14,1,0.751,  2.98
AR,14,2,0.217,  2.57
AR,14,5,0.220,  2.41
AR,15,2,0.173,  3.15
AR,15,3,0.265,  3.70
AR,15,4,0.304,  4.92
AR,15,5,0.098,  2.59
AR,15,6,0.110,  2.85
AZ,1,1,0.305,  3.33
AZ,1,2,0.494,  4.21
AZ,1,3,0.154,  1.71
AZ,1,4,0.026,  0.61
AZ,2,1,0.251,  2.03
AZ,2,2,0.408,  2.75
AZ,2,3,0.341,  1.97
AZ,3,1,0.055,  1.34
AZ,3,2,0.040,  0.88
AZ,3,3,0.050,  0.97
AZ,3,4,0.142,  1.25
AZ,3,5,0.220,  2.80
AZ,3,6,0.168,  2.31
AZ,3,7,0.076,  1.31
AZ,3,8,0.063,  1.36
AZ,3,9,0.111,  1.18
AZ,3,10,0.075,  1.63
AZ,4,1,0.153,  1.22
AZ,4,2,0.847,  1.22
AZ,5,1,0.093,  1.33
AZ,5,2,0.075,  0.99
AZ,5,3,0.832,  1.35
AZ,6,1,0.098,  1.85
AZ,6,2,0.212,  1.98
AZ,6,3,0.690,  2.50
AZ,7,1,0.324,  2.30
AZ,7,2,0.676,  2.30
AZ,8,1,0.053,  1.17
AZ,8,2,0.947,  1.17
AZ,9,1,0.080,  1.63
AZ,9,2,0.920,  1.63
AZ,10,1,0.038,  0.85
AZ,10,2,0.071,  1.07
AZ,10,3,0.217,  2.68
AZ,10,4,0.301,  2.02
AZ,10,5,0.253,  2.14
AZ,10,6,0.024,  0.81
AZ,10,7,0.097,  1.89
AZ,11,1,0.050,  1.17
AZ,11,2,0.950,  1.17
AZ,12,1,0.116,  1.52
AZ,12,2,0.884,  1.52
AZ,13,1,0.727,  2.81
AZ,13,2,0.263,  3.13
AZ,13,3,0.105,  1.44
AZ,13,6,0.043,  0.73
AZ,13,7,0.124,  2.33
AZ,13,8,0.047,  1.77
AZ,13,9,0.019,  0.77
AZ,13,10,0.224,  2.77
AZ,14,1,0.692,  2.69
AZ,14,2,0.165,  2.00
AZ,14,3,0.074,  0.54
AZ,14,5,0.266,  2.88
AZ,15,1,0.031,  0.89
AZ,15,2,0.130,  2.01
AZ,15,3,0.222,  2.12
AZ,15,4,0.378,  1.83
AZ,15,5,0.084,  1.47
AZ,15,6,0.154,  1.87
CA,1,1,0.435,  0.86
CA,1,2,0.431,  0.55
CA,1,3,0.100,  0.52
CA,1,4,0.024,  0.32
CA,1,5,0.010,  0.24
CA,2,1,0.171,  0.62
CA,2,2,0.496,  0.98
CA,2,3,0.333,  1.25
CA,3,1,0.121,  0.56
CA,3,2,0.042,  0.31
CA,3,3,0.044,  0.36
CA,3,4,0.118,  0.56
CA,3,5,0.211,  0.79
CA,3,6,0.131,  0.69
CA,3,7,0.071,  0.44
CA,3,8,0.091,  0.47
CA,3,9,0.091,  0.31
CA,3,10,0.081,  0.60
CA,4,1,0.301,  0.91
CA,4,2,0.699,  0.91
CA,5,1,0.103,  0.61
CA,5,2,0.144,  0.49
CA,5,3,0.753,  0.69
CA,6,1,0.131,  0.69
CA,6,2,0.276,  1.00
CA,6,3,0.593,  0.63
CA,7,1,0.351,  0.91
CA,7,2,0.649,  0.91
CA,8,1,0.063,  0.48
CA,8,2,0.937,  0.48
CA,9,1,0.104,  0.56
CA,9,2,0.896,  0.56
CA,10,1,0.036,  0.33
CA,10,2,0.073,  0.28
CA,10,3,0.160,  0.61
CA,10,4,0.300,  0.51
CA,10,5,0.281,  0.84
CA,10,6,0.034,  0.29
CA,10,7,0.116,  0.61
CA,11,1,0.057,  0.39
CA,11,2,0.943,  0.39
CA,12,1,0.184,  0.52
CA,12,2,0.816,  0.52
CA,13,1,0.734,  0.66
CA,13,2,0.324,  0.72
CA,13,3,0.097,  0.48
CA,13,4,0.022,  0.26
CA,13,5,0.042,  0.36
CA,13,6,0.063,  0.24
CA,13,7,0.102,  0.86
CA,13,8,0.056,  0.38
CA,13,9,0.046,  0.36
CA,13,10,0.199,  0.59
CA,14,1,0.693,  0.55
CA,14,2,0.222,  0.84
CA,14,3,0.051,  0.30
CA,14,4,0.021,  0.32
CA,14,5,0.261,  0.57
CA,15,1,0.031,  0.33
CA,15,2,0.118,  0.49
CA,15,3,0.209,  0.67
CA,15,4,0.430,  1.44
CA,15,5,0.115,  0.81
CA,15,6,0.096,  0.60
CO,1,1,0.334,  1.52
CO,1,2,0.475,  1.66
CO,1,3,0.152,  1.28
CO,1,4,0.028,  0.81
CO,2,1,0.195,  1.67
CO,2,2,0.427,  1.78
CO,2,3,0.378,  1.65
CO,3,1,0.074,  1.31
CO,3,2,0.045,  0.67
CO,3,3,0.046,  1.00
CO,3,4,0.132,  1.83
CO,3,5,0.213,  1.49
CO,3,6,0.177,  1.70
CO,3,7,0.079,  0.89
CO,3,8,0.092,  1.05
CO,3,9,0.072,  1.18
CO,3,10,0.070,  0.76
CO,4,1,0.153,  1.26
CO,4,2,0.847,  1.26
CO,5,1,0.091,  0.71
CO,5,2,0.103,  1.30
CO,5,3,0.806,  1.22
CO,6,1,0.125,  1.10
CO,6,2,0.189,  1.59
CO,6,3,0.686,  1.63
CO,7,1,0.338,  1.87
CO,7,2,0.662,  1.87
CO,8,1,0.064,  1.63
CO,8,2,0.936,  1.63
CO,9,1,0.046,  0.68
CO,9,2,0.954,  0.68
CO,10,1,0.042,  0.74
CO,10,2,0.070,  0.83
CO,10,3,0.166,  2.79
CO,10,4,0.325,  1.92
CO,10,5,0.305,  2.09
CO,10,6,0.020,  0.71
CO,10,7,0.071,  0.77
CO,11,1,0.033,  0.83
CO,11,2,0.967,  0.83
CO,12,1,0.118,  1.18
CO,12,2,0.882,  1.18
CO,13,1,0.714,  2.27
CO,13,2,0.250,  1.69
CO,13,3,0.090,  1.08
CO,13,5,0.043,  0.88
CO,13,6,0.094,  1.19
CO,13,7,0.113,  1.46
CO,13,8,0.025,  0.61
CO,13,9,0.035,  0.60
CO,13,10,0.210,  1.93
CO,14,1,0.676,  2.45
CO,14,2,0.158,  1.24
CO,14,3,0.052,  0.92
CO,14,4,0.018,  0.53
CO,14,5,0.285,  2.41
CO,15,1,0.048,  1.19
CO,15,2,0.123,  1.28
CO,15,3,0.214,  2.33
CO,15,4,0.368,  1.81
CO,15,5,0.081,  1.35
CO,15,6,0.166,  1.40
CT,1,1,0.376,  3.19
CT,1,2,0.429,  3.25
CT,1,3,0.122,  2.25
CT,1,4,0.042,  1.46
CT,2,1,0.218,  2.82
CT,2,2,0.423,  4.25
CT,2,3,0.359,  4.28
CT,3,1,0.075,  1.92
CT,3,2,0.081,  1.68
CT,3,3,0.037,  1.55
CT,3,4,0.102,  1.55
CT,3,5,0.195,  2.69
CT,3,6,0.160,  2.50
CT,3,7,0.069,  1.14
CT,3,8,0.116,  2.42
CT,3,9,0.105,  2.20
CT,3,10,0.058,  1.27
CT,4,1,0.223,  1.97
CT,4,2,0.777,  1.97
CT,5,1,0.101,  1.40
CT,5,2,0.112,  2.15
CT,5,3,0.787,  2.27
CT,6,1,0.138,  1.79
CT,6,2,0.228,  1.63
CT,6,3,0.634,  2.13
CT,7,1,0.336,  3.65
CT,7,2,0.664,  3.65
CT,8,1,0.040,  1.21
CT,8,2,0.960,  1.21
CT,9,1,0.102,  1.80
CT,9,2,0.898,  1.80
CT,10,1,0.038,  1.44
CT,10,2,0.106,  1.81
CT,10,3,0.173,  2.27
CT,10,4,0.270,  4.23
CT,10,5,0.290,  2.33
CT,10,7,0.094,  1.78
CT,11,1,0.033,  1.25
CT,11,2,0.967,  1.25
CT,12,1,0.145,  3.23
CT,12,2,0.855,  3.23
CT,13,1,0.795,  2.08
CT,13,2,0.257,  2.47
CT,13,3,0.096,  1.90
CT,13,5,0.061,  1.66
CT,13,6,0.043,  0.97
CT,13,7,0.126,  1.79
CT,13,8,0.044,  1.29
CT,13,10,0.133,  2.29
CT,14,1,0.770,  2.10
CT,14,2,0.174,  2.33
CT,14,3,0.041,  1.11
CT,14,4,0.024,  0.71
CT,14,5,0.209,  2.66
CT,15,1,0.035,  1.67
CT,15,2,0.129,  2.02
CT,15,3,0.241,  1.64
CT,15,4,0.394,  2.73
CT,15,5,0.094,  1.34
CT,15,6,0.107,  0.96
DC,1,1,0.467,  4.88
DC,1,2,0.434,  4.63
DC,2,2,0.520,  4.82
DC,2,3,0.388,  3.77
DC,3,5,0.161,  4.53
DC,3,6,0.121,  3.28
DC,3,8,0.139,  1.96
DC,4,1,0.389,  5.85
DC,4,2,0.611,  5.85
DC,5,3,0.847,  3.95
DC,6,2,0.202,  5.68
DC,6,3,0.671,  6.15
DC,7,1,0.235,  2.72
DC,7,2,0.765,  2.72
DC,8,2,0.912,  4.02
DC,9,2,0.915,  3.57
DC,10,3,0.137,  4.37
DC,10,4,0.275,  4.86
DC,10,5,0.354,  4.56
DC,10,7,0.147,  4.30
DC,11,2,0.971,  2.02
DC,12,1,0.260,  4.94
DC,12,2,0.740,  4.94
DC,13,1,0.797,  2.77
DC,13,2,0.310,  4.64
DC,13,5,0.243,  4.59
DC,13,10,0.182,  2.70
DC,14,1,0.802,  2.02
DC,14,2,0.186,  3.44
DC,14,5,0.198,  2.02
DC,15,3,0.194,  3.41
DC,15,4,0.478,  3.92
DC,15,5,0.170,  3.60
DC,15,6,0.106,  2.83
DE,1,1,0.453,  7.32
DE,1,2,0.362,  6.86
DE,2,1,0.228,  6.34
DE,2,2,0.403,  5.97
DE,2,3,0.369,  5.58
DE,3,1,0.147,  4.11
DE,3,5,0.286,  5.64
DE,3,6,0.117,  4.54
DE,4,1,0.190,  3.13
DE,4,2,0.810,  3.13
DE,5,3,0.857,  2.95
DE,6,2,0.217,  4.87
DE,6,3,0.710,  3.58
DE,7,1,0.326,  3.46
DE,7,2,0.674,  3.46
DE,8,2,0.939,  3.18
DE,9,2,0.928,  4.38
DE,10,3,0.138,  4.83
DE,10,4,0.239,  4.66
DE,10,5,0.319,  8.16
DE,10,7,0.150,  5.40
DE,11,2,0.961,  2.24
DE,12,1,0.105,  4.23
DE,12,2,0.895,  4.23
DE,13,1,0.634,  6.70
DE,13,2,0.232,  3.92
DE,13,10,0.302,  6.83
DE,14,1,0.618,  6.49
DE,14,2,0.137,  4.19
DE,14,5,0.364,  5.83
