ST,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
-,1,1,0.450,  0.30
-,1,2,0.415,  0.37
-,1,3,0.101,  0.17
-,1,4,0.023,  0.07
-,1,5,0.011,  0.09
-,2,1,0.131,  0.31
-,2,2,0.588,  0.31
-,2,3,0.280,  0.26
-,3,1,0.123,  0.26
-,3,2,0.055,  0.13
-,3,3,0.059,  0.19
-,3,4,0.125,  0.30
-,3,5,0.199,  0.19
-,3,6,0.139,  0.14
-,3,7,0.062,  0.17
-,3,8,0.087,  0.17
-,3,9,0.076,  0.24
-,3,10,0.074,  0.21
-,4,1,0.310,  0.25
-,4,2,0.690,  0.25
-,5,1,0.092,  0.20
-,5,2,0.158,  0.25
-,5,3,0.750,  0.37
-,6,1,0.119,  0.14
-,6,2,0.322,  0.38
-,6,3,0.560,  0.43
-,7,1,0.400,  0.22
-,7,2,0.600,  0.22
-,8,1,0.064,  0.21
-,8,2,0.936,  0.21
-,9,1,0.117,  0.26
-,9,2,0.883,  0.26
-,10,1,0.042,  0.12
-,10,2,0.080,  0.27
-,10,3,0.174,  0.27
-,10,4,0.328,  0.24
-,10,5,0.243,  0.27
-,10,6,0.033,  0.17
-,10,7,0.099,  0.23
-,11,1,0.057,  0.11
-,11,2,0.943,  0.11
-,12,1,0.166,  0.25
-,12,2,0.834,  0.25
-,13,1,0.746,  0.31
-,13,2,0.282,  0.14
-,13,3,0.099,  0.20
-,13,4,0.021,  0.09
-,13,5,0.051,  0.15
-,13,6,0.075,  0.20
-,13,7,0.109,  0.19
-,13,8,0.040,  0.14
-,13,9,0.039,  0.16
-,13,10,0.178,  0.20
-,14,1,0.694,  0.34
-,14,2,0.164,  0.23
-,14,3,0.055,  0.17
-,14,4,0.022,  0.10
-,14,5,0.259,  0.33
-,15,1,0.028,  0.10
-,15,2,0.133,  0.30
-,15,3,0.237,  0.36
-,15,4,0.418,  0.48
-,15,5,0.100,  0.20
-,15,6,0.084,  0.11
AK,1,1,0.495,  7.66
AK,1,2,0.419,  7.59
AK,2,2,0.649,  4.46
AK,2,3,0.210,  7.60
AK,3,1,0.168,  4.96
AK,3,5,0.305,  6.58
AK,3,6,0.128,  3.78
AK,4,1,0.321,  2.79
AK,4,2,0.679,  2.79
AK,5,1,0.151,  6.98
AK,5,3,0.727,  6.60
AK,6,1,0.201,  5.88
AK,6,2,0.319,  5.11
AK,6,3,0.480,  6.09
AK,7,1,0.425,  6.01
AK,7,2,0.575,  6.01
AK,8,2,0.968,  1.63
AK,9,2,0.938,  2.22
AK,10,4,0.394,  6.31
AK,10,5,0.202,  6.33
AK,11,2,0.924,  4.61
AK,12,1,0.137,  5.24
AK,12,2,0.863,  5.24
AK,13,1,0.733,  4.47
AK,13,2,0.363,  6.41
AK,13,10,0.142,  3.89
AK,14,1,0.676,  6.25
AK,14,2,0.239,  7.30
AK,14,5,0.298,  5.43
AK,15,3,0.212,  4.96
AK,15,4,0.344,  4.81
AL,1,1,0.309,  1.78
AL,1,2,0.482,  2.59
AL,1,3,0.168,  1.85
AL,2,1,0.182,  3.21
AL,2,2,0.497,  3.60
AL,2,3,0.320,  3.14
AL,3,1,0.053,  1.33
AL,3,2,0.036,  0.98
AL,3,3,0.068,  1.39
AL,3,4,0.097,  2.39
AL,3,5,0.180,  3.21
AL,3,6,0.168,  2.73
AL,3,7,0.068,  1.69
AL,3,8,0.084,  3.41
AL,3,9,0.139,  2.11
AL,3,10,0.108,  1.87
AL,4,1,0.151,  2.41
AL,4,2,0.849,  2.41
AL,5,1,0.083,  2.36
AL,5,2,0.118,  2.44
AL,5,3,0.799,  2.43
AL,6,1,0.113,  1.93
AL,6,2,0.286,  2.49
AL,6,3,0.601,  2.84
AL,7,1,0.391,  4.42
AL,7,2,0.609,  4.42
AL,8,2,0.975,  0.88
AL,9,1,0.053,  1.72
AL,9,2,0.947,  1.72
AL,10,2,0.108,  2.33
AL,10,3,0.190,  2.95
AL,10,4,0.346,  3.93
AL,10,5,0.187,  3.28
AL,10,7,0.125,  2.60
AL,11,1,0.056,  1.74
AL,11,2,0.944,  1.74
AL,12,1,0.099,  1.31
AL,12,2,0.901,  1.31
AL,13,1,0.795,  2.81
AL,13,2,0.203,  4.28
AL,13,3,0.066,  1.98
AL,13,6,0.052,  1.05
AL,13,7,0.084,  2.47
AL,13,10,0.156,  2.36
AL,14,1,0.780,  2.60
AL,14,2,0.130,  3.08
AL,14,3,0.054,  1.61
AL,14,5,0.181,  2.45
AL,15,1,0.044,  1.30
AL,15,2,0.196,  3.10
AL,15,3,0.297,  2.68
AL,15,4,0.323,  2.24
AL,15,5,0.040,  1.63
AL,15,6,0.101,  2.32
AR,1,1,0.330,  5.64
AR,1,2,0.542,  7.53
AR,1,3,0.097,  1.97
AR,2,1,0.164,  4.49
AR,2,2,0.514,  4.62
AR,2,3,0.322,  6.50
AR,3,1,0.102,  3.07
AR,3,2,0.058,  1.76
AR,3,4,0.118,  2.47
AR,3,5,0.194,  3.28
AR,3,6,0.202,  9.09
AR,3,7,0.070,  2.19
AR,3,8,0.073,  2.11
AR,3,9,0.080,  2.53
AR,3,10,0.069,  3.32
AR,4,1,0.184,  5.29
AR,4,2,0.816,  5.29
AR,5,1,0.099,  2.90
AR,5,2,0.062,  3.03
