ST,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
AK,1,1,0.454,6.66
AK,1,2,0.440,5.79
AK,2,2,0.655,3.81
AK,2,3,0.255,3.98
AK,3,1,0.319,4.04
AK,3,2,0.139,3.27
AK,3,5,0.120,4.87
AK,3,10,0.136,3.6
AK,4,1,0.433,8.27
AK,4,2,0.567,8.27
AK,5,2,0.293,5.97
AK,5,3,0.606,6.52
AK,6,2,0.459,7.71
AK,6,3,0.427,9.27
AK,7,1,0.418,5.61
AK,7,2,0.582,5.61
AK,8,1,0.106,2.83
AK,8,2,0.894,2.83
AK,9,1,0.119,3.51
AK,9,2,0.881,3.51
AK,10,2,0.200,4.22
AK,10,3,0.119,2.18
AK,10,4,0.257,4.14
AK,10,5,0.196,3.63
AK,11,2,0.922,2.31
AK,12,1,0.214,4.63
AK,12,2,0.786,4.63
AK,13,1,0.691,6.22
AK,13,2,0.308,5.06
AK,13,7,0.132,3.87
AK,13,10,0.215,5.46
AK,14,1,0.422,6.13
AK,14,5,0.538,6.05
AK,15,2,0.284,6.17
AK,15,3,0.271,6.51
AK,15,4,0.327,7.05
AL,1,1,0.406,4.12
AL,1,2,0.419,2.61
AL,1,3,0.133,2.49
AL,2,1,0.079,2.15
AL,2,2,0.695,3.07
AL,2,3,0.226,2.58
AL,3,1,0.176,3.8
AL,3,2,0.133,2.75
AL,3,3,0.107,2.43
AL,3,4,0.103,2.1
AL,3,5,0.190,2.42
AL,3,6,0.096,2.58
AL,3,8,0.039,0.91
AL,3,10,0.126,1.89
AL,4,1,0.334,4.32
AL,4,2,0.666,4.32
AL,5,2,0.169,2.7
AL,5,3,0.805,2.61
AL,6,1,0.031,0.6
AL,6,2,0.453,2.86
AL,6,3,0.516,2.86
AL,7,1,0.516,2.61
AL,7,2,0.484,2.61
AL,8,1,0.077,1.69
AL,8,2,0.923,1.69
AL,9,1,0.134,2.63
AL,9,2,0.866,2.63
AL,10,1,0.147,2.26
AL,10,2,0.144,3.06
AL,10,3,0.184,2.65
AL,10,4,0.182,1.61
AL,10,5,0.177,3.54
AL,10,7,0.136,3.13
AL,11,1,0.106,1.52
AL,11,2,0.894,1.52
AL,12,1,0.171,1.9
AL,12,2,0.829,1.9
AL,13,1,0.760,3.59
AL,13,2,0.252,4.04
AL,13,3,0.103,1.84
AL,13,6,0.105,1.92
AL,13,7,0.126,3.32
AL,13,8,0.057,1.45
AL,13,10,0.155,3.39
AL,14,1,0.555,5.09
AL,14,2,0.088,1.27
AL,14,4,0.050,1.39
AL,14,5,0.372,4.05
AL,15,1,0.094,2.18
AL,15,2,0.310,3.62
AL,15,3,0.245,2.99
AL,15,4,0.203,4.24
AL,15,5,0.053,2.17
AL,15,6,0.094,2.53
AR,1,1,0.409,4.9
AR,1,2,0.475,3.41
AR,1,3,0.096,1.98
AR,2,2,0.770,4.27
AR,2,3,0.195,4.03
AR,3,1,0.210,4.05
AR,3,2,0.145,3.11
AR,3,3,0.117,3.64
AR,3,4,0.160,3.51
AR,3,5,0.190,3.21
AR,3,6,0.050,1.83
AR,3,10,0.088,2.19
AR,4,1,0.263,2.02
AR,4,2,0.737,2.02
AR,5,2,0.199,3.39
AR,5,3,0.770,3.31
AR,6,2,0.428,5.5
AR,6,3,0.534,5.44
AR,7,1,0.479,4.75
AR,7,2,0.521,4.75
AR,8,1,0.059,1.84
AR,8,2,0.941,1.84
AR,9,1,0.142,2.61
AR,9,2,0.858,2.61
AR,10,1,0.068,1.68
AR,10,2,0.170,2.5
AR,10,3,0.140,4.97
AR,10,4,0.274,4.85
AR,10,5,0.183,2.33
AR,10,7,0.103,2.29
AR,11,1,0.077,1.93
AR,11,2,0.923,1.93
AR,12,1,0.169,2.89
AR,12,2,0.831,2.89
AR,13,1,0.790,3.76
AR,13,2,0.254,3.27
AR,13,3,0.071,2.51
AR,13,6,0.108,2.57
AR,13,7,0.091,2
AR,13,10,0.174,3.48
AR,14,1,0.641,5.49
AR,14,2,0.075,2.48
AR,14,5,0.332,5.58
AR,15,2,0.303,3.23
AR,15,3,0.281,4.51
AR,15,4,0.262,4.32
AR,15,6,0.097,3.47
AZ,1,1,0.490,3.32
AZ,1,2,0.397,3.08
AZ,1,3,0.096,1.71
AZ,2,1,0.037,1.08
AZ,2,2,0.716,1.68
AZ,2,3,0.247,1.99
AZ,3,1,0.178,2.18
AZ,3,2,0.116,1.53
AZ,3,3,0.102,1.31
AZ,3,4,0.202,2.66
AZ,3,5,0.155,2.03
