ST,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
-,1,1,0.413,  0.51
-,1,2,0.433,  0.53
-,1,3,0.117,  0.31
-,1,4,0.026,  0.20
-,1,5,0.012,  0.10
-,2,1,0.168,  0.21
-,2,2,0.503,  0.23
-,2,3,0.329,  0.28
-,3,1,0.106,  0.24
-,3,2,0.048,  0.16
-,3,3,0.052,  0.13
-,3,4,0.119,  0.23
-,3,5,0.196,  0.22
-,3,6,0.153,  0.26
-,3,7,0.071,  0.18
-,3,8,0.094,  0.34
-,3,9,0.085,  0.19
-,3,10,0.077,  0.22
-,4,1,0.265,  0.37
-,4,2,0.735,  0.37
-,5,1,0.097,  0.23
-,5,2,0.130,  0.27
-,5,3,0.774,  0.39
-,6,1,0.117,  0.19
-,6,2,0.262,  0.40
-,6,3,0.621,  0.45
-,7,1,0.358,  0.31
-,7,2,0.642,  0.31
-,8,1,0.054,  0.14
-,8,2,0.946,  0.14
-,9,1,0.098,  0.20
-,9,2,0.902,  0.20
-,10,1,0.044,  0.14
-,10,2,0.087,  0.23
-,10,3,0.179,  0.31
-,10,4,0.309,  0.35
-,10,5,0.247,  0.55
-,10,6,0.029,  0.17
-,10,7,0.104,  0.17
-,11,1,0.053,  0.23
-,11,2,0.947,  0.23
-,12,1,0.149,  0.38
-,12,2,0.851,  0.38
-,13,1,0.744,  0.38
-,13,2,0.277,  0.41
-,13,3,0.104,  0.31
-,13,4,0.021,  0.12
-,13,5,0.051,  0.15
-,13,6,0.072,  0.26
-,13,7,0.110,  0.17
-,13,8,0.042,  0.18
-,13,9,0.036,  0.13
-,13,10,0.183,  0.26
-,14,1,0.712,  0.39
-,14,2,0.183,  0.29
-,14,3,0.056,  0.16
-,14,4,0.023,  0.08
-,14,5,0.244,  0.32
-,15,1,0.033,  0.17
-,15,2,0.133,  0.20
-,15,3,0.223,  0.23
-,15,4,0.410,  0.32
-,15,5,0.101,  0.18
-,15,6,0.101,  0.16
AK,1,1,0.431,  7.13
AK,1,2,0.413,  6.37
AK,1,3,0.132,  4.16
AK,2,1,0.167,  4.89
AK,2,2,0.432,  6.30
AK,2,3,0.401,  9.09
AK,3,1,0.164,  4.39
AK,3,5,0.230,  2.89
AK,3,6,0.194,  4.11
AK,4,1,0.229,  3.61
AK,4,2,0.771,  3.61
AK,5,1,0.121,  4.82
AK,5,3,0.779,  4.84
AK,6,2,0.160,  4.31
AK,6,3,0.730,  5.82
AK,7,1,0.379,  5.20
AK,7,2,0.621,  5.20
AK,8,2,0.973,  1.35
AK,9,2,0.918,  4.21
AK,10,3,0.218,  3.63
AK,10,4,0.349,  4.86
AK,10,5,0.203,  3.98
AK,11,2,0.945,  2.45
AK,12,1,0.211,  5.66
AK,12,2,0.789,  5.66
AK,13,1,0.680,  5.17
AK,13,2,0.352,  5.76
AK,13,10,0.173,  4.06
AK,14,1,0.636,  4.62
AK,14,2,0.207,  5.34
AK,14,5,0.281,  3.57
AK,15,2,0.147,  3.95
AK,15,3,0.141,  4.37
AK,15,4,0.453,  3.75
AK,15,5,0.148,  3.71
AL,1,1,0.328,  2.56
AL,1,2,0.470,  4.39
AL,1,3,0.129,  2.89
AL,1,4,0.058,  2.31
AL,2,1,0.206,  3.37
AL,2,2,0.462,  4.36
AL,2,3,0.332,  3.33
AL,3,2,0.069,  2.73
AL,3,3,0.054,  1.23
AL,3,4,0.113,  2.96
AL,3,5,0.184,  3.24
AL,3,6,0.188,  3.01
AL,3,7,0.061,  1.40
AL,3,8,0.098,  2.68
AL,3,9,0.103,  1.77
AL,3,10,0.109,  3.05
AL,4,1,0.160,  2.85
AL,4,2,0.840,  2.85
AL,5,1,0.054,  1.77
AL,5,2,0.098,  2.37
AL,5,3,0.848,  1.50
AL,6,1,0.094,  1.72
AL,6,2,0.172,  2.94
AL,6,3,0.734,  2.61
AL,7,1,0.320,  3.40
AL,7,2,0.680,  3.40
AL,8,1,0.041,  1.38
AL,8,2,0.959,  1.38
AL,9,1,0.067,  1.72
AL,9,2,0.933,  1.72
AL,10,2,0.105,  2.76
AL,10,3,0.225,  2.99
AL,10,4,0.270,  3.34
AL,10,5,0.262,  2.56
AL,10,7,0.097,  2.68
AL,11,2,0.979,  1.07
AL,12,1,0.071,  2.21
AL,12,2,0.929,  2.21
AL,13,1,0.803,  3.03
AL,13,2,0.219,  2.47
AL,13,3,0.107,  1.34
AL,13,6,0.070,  2.22
AL,13,7,0.077,  2.48
AL,13,10,0.165,  2.93
AL,14,1,0.789,  3.31
AL,14,2,0.135,  2.23
AL,14,3,0.043,  1.56
AL,14,5,0.192,  3.03
AL,15,1,0.057,  1.44
AL,15,2,0.183,  2.15
AL,15,3,0.303,  2.71
AL,15,4,0.312,  2.70
AL,15,5,0.038,  1.24
AL,15,6,0.107,  2.47
AR,1,1,0.333,  2.51
AR,1,2,0.446,  2.51
AR,1,3,0.161,  2.12
AR,2,1,0.262,  4.35
AR,2,2,0.449,  5.04
AR,2,3,0.290,  4.29
AR,3,4,0.134,  2.86
AR,3,5,0.214,  3.08
AR,3,6,0.160,  3.62
AR,3,7,0.082,  2.68
AR,3,8,0.120,  2.57
AR,3,9,0.067,  2.01
AR,3,10,0.072,  1.92
AR,4,1,0.156,  2.86
AR,4,2,0.844,  2.86
AR,5,1,0.071,  1.74
AR,5,2,0.164,  3.47
AR,5,3,0.766,  3.38
AR,6,1,0.130,  2.97
AR,6,2,0.283,  3.56
AR,6,3,0.587,  4.39
AR,7,1,0.420,  5.38
AR,7,2,0.580,  5.38
AR,8,2,0.950,  2.96
AR,9,1,0.099,  1.52
AR,9,2,0.901,  1.52
AR,10,1,0.114,  1.89
AR,10,2,0.126,  3.71
AR,10,3,0.176,  2.58
AR,10,4,0.329,  2.75
AR,10,5,0.150,  4.18
AR,10,7,0.100,  1.68
AR,11,2,0.942,  2.51
AR,12,1,0.127,  2.67
AR,12,2,0.873,  2.67
AR,13,1,0.716,  3.82
AR,13,2,0.212,  4.79
AR,13,3,0.126,  1.99
AR,13,5,0.206,  3.81
AR,13,6,0.067,  2.11
